month,tmax,pm25,hot,polluted,hpe
Jan,32.500640869140625,79.3222885131836,False,True,False
Feb,34.409881591796875,65.98731231689453,False,False,False
Mar,40.403045654296875,65.23416900634766,False,False,False
Apr,43.450592041015625,60.83782958984375,True,False,False
May,43.23736572265625,53.82811737060547,True,False,False
Jun,43.69635009765625,39.04640197753906,True,False,False
Jul,39.261871337890625,36.962745666503906,False,False,False
Aug,33.587890625,31.337486267089844,False,False,False
Sep,34.101165771484375,24.799428939819336,False,False,False
Oct,35.66864013671875,46.31268310546875,False,False,False
Nov,33.88934326171875,72.6394271850586,False,True,False
Dec,30.059234619140625,59.89931106567383,False,False,False
