ward,pm25_annual
19 BODAKDEV,59.642948150634766
45 ISANPUR,59.58147430419922
32 VEJALPUR,59.239585876464844
31 VASNA,58.7791633605957
20 JODHPUR,58.57719802856445
07 GHATLODIA,58.461456298828125
35 BAHERAMPURA,58.25087356567383
43 BHAIPURA HATKESHWAR,57.796875
33 SARKHEJ,57.682891845703125
09 NARANPURA,57.4152717590332
36 DANILIMDA,57.21296691894531
37 MANINAGAR,57.069698333740234
47 VATVA,57.065528869628906
46 LAMBHA,57.06428527832031
44 KHOKHRA,56.98029708862305
42 INDRAPURI,56.79305648803711
08 THALTEJ,56.68011474609375
06 NEW WADAJ,56.6775016784668
02 CHANDLODIA,56.47862243652344
05 RANIP,56.435420989990234
22 INDIA COLONY,56.37371826171875
18 NAVRANGPURA,56.37281036376953
23 THAKKARBAPANAGAR,56.29166793823242
26 BAPUNAGAR,56.25416564941406
30 PALDI,56.2423095703125
25 VIRATNAGAR,55.98518371582031
01 GOTA,55.86024475097656
13 SAIJPUR BOGHA,55.78833770751953
34 MAKTAMPURA,55.775577545166016
39 AMRAIWADI,55.743751525878906
15 ASARWA,55.66770553588867
14 KUBERNAGR,55.25455093383789
27 SARASPUR-RAKHIYAL,55.14860534667969
38 GOMTIPUR,55.06145477294922
10 S.P.STADIUM,54.94359588623047
16 SHAHIBAG,54.65530014038086
28 KHADIA,54.53541564941406
24 NIKOL,54.14824295043945
17 SHAHPUR,54.114166259765625
04 SABARMATI,54.09444046020508
21 DARIYAPUR,54.01666259765625
29 JAMALPUR,54.01309585571289
12 NARODA,53.89722442626953
03 CHANDKHEDA,53.74681854248047
40 ODHAV,53.63274002075195
48 RAMOL HATHIJAN,53.42326736450195
11 SARDARNAGAR,53.2723503112793
41 VASTRAL,52.35833740234375
