start,end,length,evaluable,sce_linked,lead_time_days
2019-01-01,2019-01-01,1,True,True,93.0
2019-01-04,2019-01-05,2,True,True,89.0
2019-01-09,2019-01-12,4,True,True,82.0
2019-01-15,2019-01-17,3,True,True,77.0
2019-01-20,2019-01-20,1,True,True,74.0
2019-01-22,2019-01-22,1,True,True,72.0
2019-01-30,2019-01-31,2,True,True,63.0
2019-02-04,2019-02-05,2,True,True,58.0
2019-11-10,2019-11-16,7,False,,
2019-11-21,2019-11-27,7,False,,
2019-11-29,2019-11-29,1,False,,
2019-12-08,2019-12-08,1,False,,
2019-12-10,2019-12-11,2,False,,
2019-12-20,2019-12-20,1,False,,
